reserved_od,service,region,type,multiaz,license,os/db,utilization,term,payment_type,price,upfront
ondemand,ec2,eu-central-1,c4.8xlarge,,,linux,,,,2.138,
ondemand,ec2,eu-central-1,c3.large,,,linux,,,,0.129,
ondemand,ec2,eu-central-1,c3.xlarge,,,linux,,,,0.258,
ondemand,ec2,eu-central-1,c3.2xlarge,,,linux,,,,0.516,
ondemand,ec2,eu-central-1,c3.4xlarge,,,linux,,,,1.032,
ondemand,ec2,eu-central-1,c3.8xlarge,,,linux,,,,2.064,
ondemand,ec2,eu-central-1,g2.2xlarge,,,linux,,,,0.772,
ondemand,ec2,eu-central-1,g2.8xlarge,,,linux,,,,3.088,
ondemand,ec2,eu-central-1,x1.16xlarge,,,linux,,,,9.337,
ondemand,ec2,eu-central-1,x1.32xlarge,,,linux,,,,18.674,
ondemand,ec2,eu-central-1,r3.large,,,linux,,,,0.2,
ondemand,ec2,eu-central-1,r3.xlarge,,,linux,,,,0.4,
ondemand,ec2,eu-central-1,r3.2xlarge,,,linux,,,,0.8,
ondemand,ec2,eu-central-1,r3.4xlarge,,,linux,,,,1.6,
ondemand,ec2,eu-central-1,r3.8xlarge,,,linux,,,,3.201,
ondemand,ec2,eu-central-1,i2.xlarge,,,linux,,,,1.013,
ondemand,ec2,eu-central-1,i2.2xlarge,,,linux,,,,2.026,
ondemand,ec2,eu-central-1,i2.4xlarge,,,linux,,,,4.051,
ondemand,ec2,eu-central-1,i2.8xlarge,,,linux,,,,8.102,
ondemand,ec2,eu-central-1,d2.xlarge,,,linux,,,,0.794,
ondemand,ec2,eu-central-1,d2.2xlarge,,,linux,,,,1.588,
ondemand,ec2,eu-central-1,d2.4xlarge,,,linux,,,,3.176,
ondemand,ec2,eu-central-1,d2.8xlarge,,,linux,,,,6.352,
ondemand,ec2,ap-southeast-1,t2.nano,,,linux,,,,0.01,
ondemand,ec2,ap-southeast-1,t2.micro,,,linux,,,,0.02,
ondemand,ec2,ap-southeast-1,t2.small,,,linux,,,,0.04,
ondemand,ec2,ap-southeast-1,t2.medium,,,linux,,,,0.08,
ondemand,ec2,ap-southeast-1,t2.large,,,linux,,,,0.16,
ondemand,ec2,ap-southeast-1,m4.large,,,linux,,,,0.178,
ondemand,ec2,ap-southeast-1,m4.xlarge,,,linux,,,,0.355,
ondemand,ec2,ap-southeast-1,m4.2xlarge,,,linux,,,,0.711,
ondemand,ec2,ap-southeast-1,m4.4xlarge,,,linux,,,,1.421,
ondemand,ec2,ap-southeast-1,m4.10xlarge,,,linux,,,,3.553,
ondemand,ec2,ap-southeast-1,m4.16xlarge,,,linux,,,,5.685,
ondemand,ec2,ap-southeast-1,m3.medium,,,linux,,,,0.098,
ondemand,ec2,ap-southeast-1,m3.large,,,linux,,,,0.196,
